Serial Number,Route No.,Origin,Destination,No of Busses (Normal),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated(KM) per day,Travel Time (hours)
1,1,COLOMBO,KANDY,98.0,75,115.2,150,17280.0,3.50
2,1 - 1,COLOMBO,KEGALLE,33.0,31,77.3,80,6184.0,2.33
3,1 - 1/245,KEGALLE,NEGOMBO,1.0,1,74.0,4,296.0,1.91
4,1 - 2,COLOMBO,MAWANELLA,12.0,12,90.0,48,4320.0,2.66
5,1 - 3,COLOMBO,WARAKAPOLA,2.0,2,56.2,4,224.8,1.83
6,1 - 4,COLOMBO,GALAPITAMADA,1.0,1,59.3,2,118.6,1.91
7,1/245,KANDY,NEGOMBO,17.0,16,108.5,32,3472.0,3.50
8,1/627,COLOMBO,NILDANDAHINNA,1.0,1,206.0,2,412.0,5.66
9,1/744,COLOMBO,PADIYAPELELLA,1.0,1,158.0,2,316.0,5.25
10,2,COLOMBO,MATARA,83.0,73,160.4,146,23418.4,4.75
11,2 - 1,COLOMBO,GALLE,64.0,60,116.4,120,13968.0,3.50
12,2 - 3,COLOMBO,AMBALANGODA,25.0,21,85.5,84,7182.0,2.75
13,2 - 4,COLOMBO,YATIYANA,1.0,1,176.3,2,352.6,5.25
14,2 - 9,COLOMBO,DEIYANDARA,1.0,1,197.0,2,394.0,6.00
15,2 -10,COLOMBO,DEIYANDARA,3.0,3,199.0,6,1194.0,6.16
16,2-12,KIRINDA,COLOMBO,1.0,1,188.0,2,376.0,5.50
17,2-13,MAWARALA,COLOMBO,1.0,1,198.0,2,396.0,6.00
18,2/ 17,GAMPAHA,MATARA,1.0,1,192.0,2,384.0,5.75
19,2/187,KATUNAYAKA,MATARA,1.0,1,190.2,2,380.4,5.50
20,2/366,COLOMBO,AKURASSA,1.0,1,164.5,2,329.0,4.75
21,2/368,COLOMBO,URUBOKKA,1.0,1,218.0,2,436.0,6.25
22,2/382,COLOMBO,AKURESSA,1.0,1,156.3,2,312.6,4.50
23,3 - 1,COLOMBO,EMBILIPITIYA,16.0,13,168.3,26,4375.8,4.41
24,3 -1/461-3,COLOMBO,KOLONNA,1.0,1,194.4,2,388.8,5.83
25,3 - 4,COLOMBO,HAMBANTHOTA,2.0,2,220.1,4,880.4,6.33
26,3/363,COLOMBO,WALASMULLA,1.0,1,216.2,2,432.4,5.83
27,3/497,COLOMBO,SURIYAWEWA,2.0,2,190.0,4,760.0,4.41
28,4 - 1 - 1,NEGOMBO,TALAI MANNAR,1.0,1,310.0,2,620.0,7.83
29,4 - 3,COLOMBO,ANURADHAPURA,5.0,5,216.4,10,2164.0,5.50
30,4 - 7,COLOMBO,PUTTALAM,22.0,20,137.2,40,5488.0,3.75
31,4 - 9,COLOMBO,ANAMADUWA,1.0,1,129.0,2,258.0,3.50
32,4 - 10,ELUVANKULAMA,COLOMBO,1.0,1,158.0,2,316.0,4.16
33,4 -11,COLOMBO,CHILAW,54.0,48,82.8,132,10929.6,2.50
34,4 -13,PUTTALAM,MANNAR,1.0,1,184.0,2,368.0,4.50
35,5,COLOMBO,KURUNEGALA,56.0,49,95.8,98,9388.4,3.00
36,5/ 57/540,GALNEWA,KATUNAYAKA,2.0,2,188.1,4,752.4,4.66
37,5/245,KATUNAYAKA,KURUNEGALA,7.0,7,72.0,14,1008.0,2.33
38,6,COLOMBO,KURUNEGALA,60.0,51,93.4,102,9526.8,2.66
39,6/ 558,MORAGOLLAGAMA,COLOMBO,1.0,1,152.0,2,304.0,4.25
40,6/ 57/540,COLOMBO,GALNEWA,1.0,1,210.2,2,420.4,5.50
41,7,COLOMBO,KALPITIYA,6.0,6,171.7,12,2060.4,4.58
42,7 - 1,NEGOMBO,KALPITIYA,4.0,4,134.9,8,1079.2,2.66
43,8,COLOMBO,MATALE,14.0,13,141.3,26,3673.8,4.25
44,8 - 1,COLOMBO,MATALE,1.0,1,140.0,2,280.0,4.16
45,9,COLOMBO,TELDENIYA,1.0,1,140.6,2,281.2,4.50
46,9 - 1,COLOMBO,WATTEGAMA,3.0,3,129.8,6,778.8,4.00
